numero_jugador,nombre,apellido,dni,telefono,categoria,posicion,fecha_nacimiento,obra_social,apto_medico,estado
49,Bruno,Acosta,42944882,1164009265,Sub 20,Mediocampista,2008-03-07,Avalian,Pendiente,Activo
50,Bruno,Ponce,37839388,1192613013,Sub 20,Mediocampista,2007-09-27,OSDE,Vigente,Activo
51,Joaquin,Acosta,42812889,1172409658,Sub 20,Delantero,2007-11-07,Unión Personal,Vigente,Suspendido
52,Tomas,Molina,34845266,1148089166,Sub 17,Delantero,2010-02-27,Medicus,Pendiente,Activo
53,Santino,Aguirre,38681691,1129777514,Sub 17,Arquero,2009-04-16,Jerárquicos Salud,Vencido,Activo
54,Martin,Acosta,38524163,1161536717,Sub 17,Delantero,2010-04-05,OSDE,Vencido,Baja
55,Matias,Lopez,46265539,1139372360,Sub 17,Defensor,2010-01-18,Medicus,Vigente,Activo
56,Thiago,Aguirre,47590839,1199600766,Sub 17,Delantero,2010-08-20,Unión Personal,Vigente,Activo
57,Martin,Godoy,37340453,1173709724,Sub 17,Delantero,2010-04-27,IOMA,Vencido,Baja
58,Ramiro,Herrera,40027759,1146855845,Sub 17,Delantero,2009-12-10,Medicus,Vigente,Activo
59,Agustin,Godoy,34703737,1128572252,Sub 17,Defensor,2009-07-23,Galeno,Vencido,Activo
60,Benjamin,Acosta,45676765,1154410148,Sub 17,Delantero,2010-07-02,Medicus,Vigente,Activo
61,Matias,Quiroga,32655383,1187267850,Sub 17,Mediocampista,2010-01-12,IOMA,Vencido,Activo
62,Ezequiel,Godoy,46060021,1182238741,Sub 17,Delantero,2009-08-08,IOMA,Vigente,Activo
63,Juan,Torres,43278635,1199774697,Sub 17,Mediocampista,2009-08-05,Jerárquicos Salud,Vigente,Activo
64,Damian,Torres,32909393,1121267237,Sub 17,Mediocampista,2009-08-06,OSDE,Vigente,Activo
65,Agustin,Garcia,47257177,1153868501,Sub 17,Mediocampista,2010-05-25,Avalian,Vigente,Activo
66,Santiago,Gomez,33747702,1156970882,Sub 17,Defensor,2009-11-02,OSDE,Vigente,Activo
67,Alan,Gomez,37113103,1142016960,Sub 17,Defensor,2010-11-04,Jerárquicos Salud,Vigente,Activo
68,Maximo,Diaz,44378068,1132520277,Sub 17,Defensor,2009-05-04,Jerárquicos Salud,Vigente,Activo
69,Nahuel,Molina,44593211,1163238057,Sub 15,Defensor,2011-10-23,Medicus,Vigente,Lesionado
70,Ignacio,Romero,36061933,1185958181,Sub 15,Arquero,2012-09-14,Sancor Salud,Vigente,Activo
71,Federico,Alvarez,32424535,1166379329,Sub 15,Delantero,2011-07-12,OSECAC,Vencido,Activo
72,Facundo,Perez,41062461,1192666356,Sub 15,Delantero,2012-08-14,Jerárquicos Salud,Vigente,Activo
73,Ezequiel,Sosa,34907924,1147437115,Sub 15,Delantero,2011-08-19,Jerárquicos Salud,Pendiente,Activo
74,Agustin,Gomez,48586173,1153622663,Sub 15,Defensor,2012-04-12,IOMA,Vigente,Activo
75,Matias,Castro,41270035,1184597009,Sub 15,Arquero,2011-02-08,Avalian,Vigente,Activo
76,Ignacio,Sosa,47975033,1196691619,Sub 15,Delantero,2012-01-03,IOMA,Vigente,Activo
77,Maximo,Sosa,42274569,1199115205,Sub 15,Mediocampista,2012-09-17,Sancor Salud,Vigente,Suspendido
78,Gonzalo,Alvarez,43804802,1170900658,Sub 15,Mediocampista,2012-05-08,Swiss Medical,Vencido,Activo
79,Agustin,Lopez,38212597,1135708194,Sub 15,Defensor,2012-05-24,Jerárquicos Salud,Vencido,Activo
80,Emiliano,Romero,35373096,1136054020,Sub 15,Mediocampista,2011-06-06,IOMA,Vigente,Suspendido
81,Gonzalo,Martinez,41204360,1116109013,Sub 15,Arquero,2012-12-05,OSECAC,Vigente,Activo
82,Nahuel,Romero,47750347,1174251933,Sub 15,Delantero,2012-03-02,IOMA,Vigente,Activo
83,Alan,Fernandez,45445510,1176001106,Sub 15,Defensor,2011-03-05,Jerárquicos Salud,Vigente,Activo
84,Santino,Lopez,45964482,1191378577,Sub 15,Defensor,2012-08-15,IOMA,Pendiente,Activo
85,Franco,Suarez,34020993,1191823275,Sub 15,Defensor,2011-11-07,IOMA,Pendiente,Activo
86,Tomas,Sosa,37832214,1184087145,Infantiles,Defensor,2014-01-14,OSECAC,Pendiente,Activo
87,Santiago,Romero,33095211,1141068214,Infantiles,Mediocampista,2015-12-28,OSECAC,Vigente,Lesionado
88,Santino,Peralta,40876980,1193893865,Infantiles,Defensor,2016-02-18,Medicus,Pendiente,Activo
89,Damian,Diaz,36772657,1119584466,Infantiles,Arquero,2014-05-20,Jerárquicos Salud,Vigente,Activo
90,Valentino,Benitez,42203607,1164023778,Infantiles,Mediocampista,2017-09-16,OSECAC,Vigente,Activo
91,Mateo,Godoy,46496476,1153261270,Infantiles,Mediocampista,2013-02-08,Jerárquicos Salud,Pendiente,Activo
92,Ignacio,Molina,41043289,1187342561,Infantiles,Arquero,2014-08-17,OSECAC,Vigente,Activo
93,Nahuel,Acosta,48499579,1122246348,Infantiles,Delantero,2015-07-11,Sancor Salud,Pendiente,Activo
94,Ezequiel,Perez,43066374,1165250068,Infantiles,Delantero,2015-11-13,Unión Personal,Vigente,Activo
95,Benjamin,Alvarez,40469100,1153389073,Infantiles,Defensor,2016-09-27,OSDE,Pendiente,Activo
96,Martin,Acosta,33818787,1135176902,Infantiles,Delantero,2015-10-25,OSECAC,Pendiente,Activo
97,Ignacio,Rodriguez,38830281,1145843681,Infantiles,Delantero,2014-05-15,OSECAC,Vigente,Activo
98,Federico,Castro,40029490,1131257157,Infantiles,Mediocampista,2017-01-18,Avalian,Vigente,Activo
99,Alan,Peralta,35807123,1171934487,Infantiles,Defensor,2014-08-23,IOMA,Vigente,Suspendido
100,Bautista,Acosta,48189999,1173380266,Infantiles,Defensor,2016-09-05,Avalian,Vigente,Activo
